leave_id,employee_id,leave_type,start_date,end_date,status,created_at
27,9,unpaid,2023-10-30,2023-11-23,approved,2026-04-05 21:50:05.069527
28,9,annual,2023-12-18,2023-12-21,approved,2026-04-05 21:50:05.069527
29,9,unpaid,2024-05-26,2024-06-10,rejected,2026-04-05 21:50:05.069527
30,11,annual,2022-12-06,2022-12-09,approved,2026-04-05 21:50:05.069527
31,11,annual,2021-02-02,2021-02-17,approved,2026-04-05 21:50:05.069527
32,11,annual,2021-07-19,2021-07-31,approved,2026-04-05 21:50:05.069527
33,11,annual,2021-02-04,2021-02-09,approved,2026-04-05 21:50:05.069527
34,11,sick,2023-09-06,2023-09-10,approved,2026-04-05 21:50:05.069527
35,11,maternity,2024-04-11,2024-06-15,approved,2026-04-05 21:50:05.069527
36,15,annual,2020-06-21,2020-07-06,pending,2026-04-05 21:50:05.069527
37,15,annual,2021-01-20,2021-01-27,approved,2026-04-05 21:50:05.069527
38,15,annual,2024-05-28,2024-06-12,rejected,2026-04-05 21:50:05.069527
39,15,paternity,2021-04-20,2021-05-04,approved,2026-04-05 21:50:05.069527
40,15,sick,2022-08-02,2022-08-05,approved,2026-04-05 21:50:05.069527
41,28,annual,2021-05-26,2021-06-04,approved,2026-04-05 21:50:05.069527
42,28,annual,2021-05-18,2021-05-27,approved,2026-04-05 21:50:05.069527
43,28,annual,2022-09-29,2022-10-07,approved,2026-04-05 21:50:05.069527
44,28,annual,2021-12-01,2021-12-10,approved,2026-04-05 21:50:05.069527
45,28,annual,2022-12-11,2022-12-21,approved,2026-04-05 21:50:05.069527
46,132,paternity,2024-05-31,2024-06-14,approved,2026-04-05 21:50:05.069527
47,132,annual,2022-06-01,2022-06-08,approved,2026-04-05 21:50:05.069527
48,132,annual,2020-09-02,2020-09-17,approved,2026-04-05 21:50:05.069527
49,137,unpaid,2022-02-17,2022-03-15,rejected,2026-04-05 21:50:05.069527
50,137,sick,2021-09-01,2021-09-06,approved,2026-04-05 21:50:05.069527
51,137,annual,2022-05-02,2022-05-13,approved,2026-04-05 21:50:05.069527
52,140,annual,2021-01-23,2021-02-03,approved,2026-04-05 21:50:05.069527
53,140,annual,2022-07-29,2022-08-11,approved,2026-04-05 21:50:05.069527
54,156,annual,2020-10-17,2020-10-29,approved,2026-04-05 21:50:05.069527
55,156,annual,2024-04-10,2024-04-14,approved,2026-04-05 21:50:05.069527
56,156,annual,2021-06-07,2021-06-22,approved,2026-04-05 21:50:05.069527
57,156,annual,2021-04-24,2021-04-28,approved,2026-04-05 21:50:05.069527
58,162,annual,2021-06-15,2021-06-29,approved,2026-04-05 21:50:05.069527
59,162,sick,2022-11-14,2022-11-19,approved,2026-04-05 21:50:05.069527
60,162,annual,2020-05-07,2020-05-22,approved,2026-04-05 21:50:05.069527
61,162,annual,2020-03-29,2020-04-12,pending,2026-04-05 21:50:05.069527
62,163,maternity,2020-09-09,2020-11-11,approved,2026-04-05 21:50:05.069527
63,163,annual,2020-05-21,2020-05-30,approved,2026-04-05 21:50:05.069527
64,163,annual,2022-04-02,2022-04-12,approved,2026-04-05 21:50:05.069527
65,163,annual,2021-10-16,2021-10-29,pending,2026-04-05 21:50:05.069527
66,166,sick,2023-07-18,2023-07-21,approved,2026-04-05 21:50:05.069527
67,166,unpaid,2020-04-04,2020-04-20,approved,2026-04-05 21:50:05.069527
68,166,unpaid,2024-03-27,2024-04-22,approved,2026-04-05 21:50:05.069527
69,166,annual,2022-06-18,2022-06-23,approved,2026-04-05 21:50:05.069527
70,166,annual,2022-07-27,2022-07-30,approved,2026-04-05 21:50:05.069527
71,166,annual,2024-02-09,2024-02-12,approved,2026-04-05 21:50:05.069527
72,168,sick,2022-01-30,2022-02-03,approved,2026-04-05 21:50:05.069527
73,168,maternity,2023-06-15,2023-08-31,approved,2026-04-05 21:50:05.069527
74,168,annual,2022-07-13,2022-07-23,approved,2026-04-05 21:50:05.069527
75,169,annual,2023-11-10,2023-11-15,rejected,2026-04-05 21:50:05.069527
76,169,sick,2020-08-14,2020-08-18,pending,2026-04-05 21:50:05.069527
77,169,annual,2020-07-05,2020-07-15,approved,2026-04-05 21:50:05.069527
78,169,annual,2021-05-06,2021-05-18,approved,2026-04-05 21:50:05.069527
79,169,annual,2023-09-27,2023-10-05,approved,2026-04-05 21:50:05.069527
80,177,unpaid,2023-07-15,2023-08-04,approved,2026-04-05 21:50:05.069527
81,177,annual,2024-02-13,2024-02-24,pending,2026-04-05 21:50:05.069527
82,177,annual,2023-12-13,2023-12-22,approved,2026-04-05 21:50:05.069527
83,177,annual,2021-09-25,2021-10-07,rejected,2026-04-05 21:50:05.069527
84,177,paternity,2022-11-22,2022-12-05,approved,2026-04-05 21:50:05.069527
85,181,annual,2021-03-22,2021-03-31,approved,2026-04-05 21:50:05.069527
86,181,annual,2022-08-29,2022-09-05,rejected,2026-04-05 21:50:05.069527
87,182,maternity,2022-09-19,2022-11-21,approved,2026-04-05 21:50:05.069527
88,182,paternity,2022-12-09,2022-12-21,approved,2026-04-05 21:50:05.069527
89,182,annual,2023-05-23,2023-05-28,approved,2026-04-05 21:50:05.069527
90,182,annual,2021-02-10,2021-02-18,approved,2026-04-05 21:50:05.069527
91,182,annual,2023-02-25,2023-03-09,rejected,2026-04-05 21:50:05.069527
92,185,paternity,2024-05-18,2024-06-02,approved,2026-04-05 21:50:05.069527
93,185,annual,2020-11-25,2020-12-02,approved,2026-04-05 21:50:05.069527
94,185,annual,2022-09-18,2022-09-27,approved,2026-04-05 21:50:05.069527
95,185,sick,2022-01-21,2022-01-24,approved,2026-04-05 21:50:05.069527
96,187,sick,2023-12-20,2023-12-23,approved,2026-04-05 21:50:05.069527
97,187,annual,2021-01-15,2021-01-25,approved,2026-04-05 21:50:05.069527
98,187,annual,2022-04-11,2022-04-23,approved,2026-04-05 21:50:05.069527
99,192,paternity,2023-10-28,2023-11-10,approved,2026-04-05 21:50:05.069527
100,192,annual,2022-02-09,2022-02-12,pending,2026-04-05 21:50:05.069527
101,192,annual,2021-03-13,2021-03-20,approved,2026-04-05 21:50:05.069527
102,192,annual,2020-10-27,2020-11-07,approved,2026-04-05 21:50:05.069527
103,192,annual,2020-06-06,2020-06-15,approved,2026-04-05 21:50:05.069527
104,193,annual,2022-06-20,2022-06-26,approved,2026-04-05 21:50:05.069527
105,193,unpaid,2023-04-08,2023-05-08,approved,2026-04-05 21:50:05.069527
106,193,annual,2023-07-23,2023-08-03,approved,2026-04-05 21:50:05.069527
107,197,maternity,2022-02-10,2022-05-08,approved,2026-04-05 21:50:05.069527
108,197,sick,2021-05-11,2021-05-12,rejected,2026-04-05 21:50:05.069527
109,197,annual,2022-10-14,2022-10-24,pending,2026-04-05 21:50:05.069527
110,200,unpaid,2022-08-29,2022-09-28,approved,2026-04-05 21:50:05.069527
111,200,sick,2021-08-12,2021-08-13,approved,2026-04-05 21:50:05.069527
112,202,annual,2021-05-10,2021-05-15,approved,2026-04-05 21:50:05.069527
113,202,maternity,2024-03-28,2024-06-25,approved,2026-04-05 21:50:05.069527
114,203,sick,2024-05-18,2024-05-23,approved,2026-04-05 21:50:05.069527
115,203,maternity,2023-12-21,2024-02-23,approved,2026-04-05 21:50:05.069527
116,203,annual,2024-03-29,2024-04-03,approved,2026-04-05 21:50:05.069527
117,203,annual,2022-08-16,2022-08-25,approved,2026-04-05 21:50:05.069527
118,205,annual,2024-03-25,2024-04-09,approved,2026-04-05 21:50:05.069527
119,205,annual,2020-03-13,2020-03-18,approved,2026-04-05 21:50:05.069527
120,206,sick,2020-10-06,2020-10-10,approved,2026-04-05 21:50:05.069527
121,206,sick,2023-05-06,2023-05-08,approved,2026-04-05 21:50:05.069527
122,206,annual,2024-04-19,2024-05-04,approved,2026-04-05 21:50:05.069527
123,206,sick,2023-11-21,2023-11-25,rejected,2026-04-05 21:50:05.069527
124,207,unpaid,2022-01-17,2022-02-07,approved,2026-04-05 21:50:05.069527
125,207,annual,2021-10-30,2021-11-02,approved,2026-04-05 21:50:05.069527
126,207,sick,2023-01-01,2023-01-06,rejected,2026-04-05 21:50:05.069527
127,207,annual,2020-05-31,2020-06-08,approved,2026-04-05 21:50:05.069527
128,207,sick,2020-06-06,2020-06-10,approved,2026-04-05 21:50:05.069527
129,210,sick,2022-05-24,2022-05-26,rejected,2026-04-05 21:50:05.069527
130,210,annual,2024-03-17,2024-03-30,pending,2026-04-05 21:50:05.069527
131,211,unpaid,2024-01-02,2024-01-20,approved,2026-04-05 21:50:05.069527
132,211,sick,2022-06-06,2022-06-11,rejected,2026-04-05 21:50:05.069527
133,211,sick,2020-01-26,2020-01-29,rejected,2026-04-05 21:50:05.069527
134,211,annual,2020-11-29,2020-12-06,rejected,2026-04-05 21:50:05.069527
135,211,sick,2023-08-31,2023-09-02,approved,2026-04-05 21:50:05.069527
136,211,annual,2021-02-20,2021-02-26,rejected,2026-04-05 21:50:05.069527
137,212,sick,2022-04-01,2022-04-05,approved,2026-04-05 21:50:05.069527
138,212,maternity,2023-02-10,2023-05-06,approved,2026-04-05 21:50:05.069527
139,212,sick,2023-06-06,2023-06-09,approved,2026-04-05 21:50:05.069527
140,212,annual,2023-02-10,2023-02-19,approved,2026-04-05 21:50:05.069527
141,212,sick,2020-05-20,2020-05-22,approved,2026-04-05 21:50:05.069527
142,212,annual,2023-05-29,2023-06-04,approved,2026-04-05 21:50:05.069527
143,213,annual,2020-06-07,2020-06-15,approved,2026-04-05 21:50:05.069527
144,213,annual,2021-08-27,2021-08-30,rejected,2026-04-05 21:50:05.069527
145,213,annual,2023-01-31,2023-02-07,approved,2026-04-05 21:50:05.069527
146,213,sick,2022-06-15,2022-06-19,pending,2026-04-05 21:50:05.069527
147,213,annual,2020-08-16,2020-08-19,approved,2026-04-05 21:50:05.069527
148,213,annual,2023-04-15,2023-04-26,approved,2026-04-05 21:50:05.069527
149,214,sick,2024-04-15,2024-04-16,approved,2026-04-05 21:50:05.069527
150,214,annual,2023-10-31,2023-11-03,approved,2026-04-05 21:50:05.069527
151,216,sick,2022-05-19,2022-05-24,approved,2026-04-05 21:50:05.069527
152,216,maternity,2021-01-04,2021-03-25,approved,2026-04-05 21:50:05.069527
153,216,sick,2021-02-03,2021-02-05,approved,2026-04-05 21:50:05.069527
154,218,sick,2020-10-27,2020-11-01,approved,2026-04-05 21:50:05.069527
155,218,sick,2023-05-08,2023-05-13,approved,2026-04-05 21:50:05.069527
156,218,annual,2023-03-05,2023-03-16,approved,2026-04-05 21:50:05.069527
157,218,sick,2022-11-19,2022-11-22,approved,2026-04-05 21:50:05.069527
158,219,sick,2023-02-09,2023-02-13,approved,2026-04-05 21:50:05.069527
159,219,annual,2021-03-24,2021-03-29,approved,2026-04-05 21:50:05.069527
160,219,annual,2021-09-10,2021-09-18,approved,2026-04-05 21:50:05.069527
161,220,annual,2024-04-30,2024-05-11,approved,2026-04-05 21:50:05.069527
162,220,maternity,2023-06-01,2023-08-18,approved,2026-04-05 21:50:05.069527
163,220,annual,2024-04-02,2024-04-12,approved,2026-04-05 21:50:05.069527
164,220,paternity,2020-05-05,2020-05-20,pending,2026-04-05 21:50:05.069527
165,220,sick,2020-05-20,2020-05-22,approved,2026-04-05 21:50:05.069527
166,221,sick,2020-04-30,2020-05-02,pending,2026-04-05 21:50:05.069527
167,221,annual,2021-03-01,2021-03-12,approved,2026-04-05 21:50:05.069527
168,221,annual,2022-10-31,2022-11-10,approved,2026-04-05 21:50:05.069527
169,221,annual,2024-01-11,2024-01-22,approved,2026-04-05 21:50:05.069527
170,221,unpaid,2023-11-20,2023-12-14,rejected,2026-04-05 21:50:05.069527
171,222,annual,2021-04-07,2021-04-19,approved,2026-04-05 21:50:05.069527
172,222,annual,2024-05-20,2024-05-24,approved,2026-04-05 21:50:05.069527
173,223,annual,2021-03-10,2021-03-20,approved,2026-04-05 21:50:05.069527
174,223,annual,2022-10-15,2022-10-30,approved,2026-04-05 21:50:05.069527
175,223,annual,2022-09-16,2022-09-23,rejected,2026-04-05 21:50:05.069527
176,223,annual,2021-05-19,2021-06-02,approved,2026-04-05 21:50:05.069527
177,225,annual,2023-05-05,2023-05-09,rejected,2026-04-05 21:50:05.069527
178,225,annual,2022-07-18,2022-07-30,approved,2026-04-05 21:50:05.069527
179,226,paternity,2022-11-11,2022-11-24,approved,2026-04-05 21:50:05.069527
180,226,sick,2024-04-25,2024-04-30,approved,2026-04-05 21:50:05.069527
181,226,annual,2024-05-02,2024-05-15,approved,2026-04-05 21:50:05.069527
182,226,annual,2024-03-01,2024-03-11,approved,2026-04-05 21:50:05.069527
183,226,sick,2022-07-20,2022-07-21,approved,2026-04-05 21:50:05.069527
184,227,annual,2024-01-15,2024-01-21,rejected,2026-04-05 21:50:05.069527
185,227,annual,2020-02-21,2020-02-24,pending,2026-04-05 21:50:05.069527
186,227,maternity,2023-02-18,2023-05-12,approved,2026-04-05 21:50:05.069527
187,227,annual,2022-10-26,2022-10-31,approved,2026-04-05 21:50:05.069527
188,227,annual,2020-12-06,2020-12-21,approved,2026-04-05 21:50:05.069527
189,227,annual,2023-07-18,2023-07-31,approved,2026-04-05 21:50:05.069527
190,228,annual,2022-08-13,2022-08-25,approved,2026-04-05 21:50:05.069527
191,228,sick,2020-03-23,2020-03-28,approved,2026-04-05 21:50:05.069527
192,228,sick,2024-01-14,2024-01-19,rejected,2026-04-05 21:50:05.069527
193,228,annual,2022-04-04,2022-04-15,approved,2026-04-05 21:50:05.069527
194,228,annual,2021-12-07,2021-12-22,approved,2026-04-05 21:50:05.069527
195,228,sick,2020-06-08,2020-06-13,approved,2026-04-05 21:50:05.069527
196,229,sick,2024-02-01,2024-02-05,approved,2026-04-05 21:50:05.069527
197,229,annual,2021-06-13,2021-06-16,approved,2026-04-05 21:50:05.069527
198,229,annual,2023-03-27,2023-03-30,rejected,2026-04-05 21:50:05.069527
199,229,annual,2021-04-04,2021-04-11,approved,2026-04-05 21:50:05.069527
200,229,unpaid,2022-01-22,2022-02-13,approved,2026-04-05 21:50:05.069527
201,229,annual,2020-04-08,2020-04-15,approved,2026-04-05 21:50:05.069527
202,230,annual,2020-12-07,2020-12-16,approved,2026-04-05 21:50:05.069527
203,230,annual,2021-08-15,2021-08-23,approved,2026-04-05 21:50:05.069527
204,230,sick,2020-02-28,2020-03-02,approved,2026-04-05 21:50:05.069527
205,231,annual,2023-10-02,2023-10-10,approved,2026-04-05 21:50:05.069527
206,231,paternity,2022-09-01,2022-09-11,approved,2026-04-05 21:50:05.069527
207,231,annual,2023-07-25,2023-08-06,approved,2026-04-05 21:50:05.069527
208,231,annual,2021-04-15,2021-04-30,approved,2026-04-05 21:50:05.069527
209,232,annual,2023-07-07,2023-07-15,approved,2026-04-05 21:50:05.069527
210,232,annual,2021-09-25,2021-10-05,approved,2026-04-05 21:50:05.069527
211,233,paternity,2023-06-28,2023-07-08,approved,2026-04-05 21:50:05.069527
212,233,unpaid,2024-04-08,2024-05-04,approved,2026-04-05 21:50:05.069527
213,233,sick,2024-01-05,2024-01-07,approved,2026-04-05 21:50:05.069527
214,234,annual,2020-07-12,2020-07-25,approved,2026-04-05 21:50:05.069527
215,234,sick,2021-03-05,2021-03-07,approved,2026-04-05 21:50:05.069527
216,234,unpaid,2024-05-30,2024-06-29,approved,2026-04-05 21:50:05.069527
217,234,unpaid,2021-10-06,2021-10-28,approved,2026-04-05 21:50:05.069527
218,234,annual,2022-10-06,2022-10-16,pending,2026-04-05 21:50:05.069527
219,235,annual,2024-01-26,2024-01-31,approved,2026-04-05 21:50:05.069527
220,235,paternity,2023-03-16,2023-03-29,approved,2026-04-05 21:50:05.069527
221,235,annual,2022-09-01,2022-09-14,approved,2026-04-05 21:50:05.069527
222,235,annual,2021-06-22,2021-07-05,approved,2026-04-05 21:50:05.069527
223,235,sick,2023-11-29,2023-12-02,approved,2026-04-05 21:50:05.069527
224,235,sick,2022-11-29,2022-12-04,approved,2026-04-05 21:50:05.069527
225,236,annual,2023-01-05,2023-01-09,approved,2026-04-05 21:50:05.069527
226,236,sick,2022-04-01,2022-04-04,rejected,2026-04-05 21:50:05.069527
227,238,sick,2024-02-13,2024-02-16,rejected,2026-04-05 21:50:05.069527
228,238,paternity,2021-08-20,2021-09-04,approved,2026-04-05 21:50:05.069527
229,238,sick,2022-02-04,2022-02-08,approved,2026-04-05 21:50:05.069527
230,239,annual,2022-05-16,2022-05-26,pending,2026-04-05 21:50:05.069527
231,239,annual,2022-07-16,2022-07-30,approved,2026-04-05 21:50:05.069527
232,239,paternity,2021-11-29,2021-12-13,approved,2026-04-05 21:50:05.069527
233,239,paternity,2022-07-13,2022-07-28,approved,2026-04-05 21:50:05.069527
234,240,maternity,2022-06-16,2022-09-06,approved,2026-04-05 21:50:05.069527
235,240,annual,2021-10-05,2021-10-09,approved,2026-04-05 21:50:05.069527
236,240,sick,2024-02-28,2024-02-29,approved,2026-04-05 21:50:05.069527
237,240,maternity,2022-09-12,2022-12-07,approved,2026-04-05 21:50:05.069527
238,240,sick,2024-01-30,2024-02-02,pending,2026-04-05 21:50:05.069527
239,240,annual,2022-12-19,2022-12-31,approved,2026-04-05 21:50:05.069527
240,241,sick,2022-04-29,2022-04-30,approved,2026-04-05 21:50:05.069527
241,241,annual,2022-06-13,2022-06-19,approved,2026-04-05 21:50:05.069527
242,241,annual,2021-01-13,2021-01-16,approved,2026-04-05 21:50:05.069527
243,242,annual,2023-03-25,2023-04-06,approved,2026-04-05 21:50:05.069527
244,242,sick,2023-05-10,2023-05-12,approved,2026-04-05 21:50:05.069527
245,242,annual,2022-12-08,2022-12-16,approved,2026-04-05 21:50:05.069527
246,242,annual,2021-03-31,2021-04-14,approved,2026-04-05 21:50:05.069527
247,246,annual,2022-06-21,2022-07-04,approved,2026-04-05 21:50:05.069527
248,246,maternity,2020-05-10,2020-07-27,approved,2026-04-05 21:50:05.069527
249,246,annual,2022-06-12,2022-06-18,approved,2026-04-05 21:50:05.069527
250,248,sick,2020-09-02,2020-09-07,approved,2026-04-05 21:50:05.069527
251,248,annual,2022-12-12,2022-12-17,approved,2026-04-05 21:50:05.069527
252,248,annual,2023-10-06,2023-10-18,rejected,2026-04-05 21:50:05.069527
253,248,maternity,2022-03-07,2022-05-29,approved,2026-04-05 21:50:05.069527
254,248,annual,2024-01-28,2024-02-10,approved,2026-04-05 21:50:05.069527
255,248,unpaid,2021-10-26,2021-11-21,approved,2026-04-05 21:50:05.069527
256,249,sick,2021-09-19,2021-09-23,approved,2026-04-05 21:50:05.069527
257,249,annual,2022-04-22,2022-05-05,rejected,2026-04-05 21:50:05.069527
258,249,annual,2022-04-23,2022-05-01,approved,2026-04-05 21:50:05.069527
259,249,unpaid,2021-03-02,2021-03-15,approved,2026-04-05 21:50:05.069527
260,251,annual,2020-12-05,2020-12-13,approved,2026-04-05 21:50:05.069527
261,251,annual,2022-01-13,2022-01-27,approved,2026-04-05 21:50:05.069527
262,251,annual,2022-01-23,2022-02-01,approved,2026-04-05 21:50:05.069527
263,251,annual,2020-06-06,2020-06-15,approved,2026-04-05 21:50:05.069527
264,251,annual,2021-12-02,2021-12-14,approved,2026-04-05 21:50:05.069527
265,251,unpaid,2021-12-24,2022-01-05,pending,2026-04-05 21:50:05.069527
266,252,unpaid,2020-06-12,2020-06-24,approved,2026-04-05 21:50:05.069527
267,252,annual,2020-11-07,2020-11-11,approved,2026-04-05 21:50:05.069527
268,252,annual,2023-07-08,2023-07-18,approved,2026-04-05 21:50:05.069527
269,252,annual,2022-10-23,2022-11-07,approved,2026-04-05 21:50:05.069527
270,252,annual,2024-01-07,2024-01-14,approved,2026-04-05 21:50:05.069527
271,253,annual,2020-11-08,2020-11-16,approved,2026-04-05 21:50:05.069527
272,253,sick,2021-03-03,2021-03-08,approved,2026-04-05 21:50:05.069527
273,253,paternity,2020-01-17,2020-01-31,approved,2026-04-05 21:50:05.069527
274,253,sick,2021-05-05,2021-05-09,approved,2026-04-05 21:50:05.069527
275,253,annual,2023-06-18,2023-06-21,rejected,2026-04-05 21:50:05.069527
276,254,annual,2024-01-17,2024-01-31,approved,2026-04-05 21:50:05.069527
277,254,annual,2024-01-23,2024-02-07,approved,2026-04-05 21:50:05.069527
278,254,annual,2021-09-11,2021-09-24,approved,2026-04-05 21:50:05.069527
279,254,annual,2022-06-11,2022-06-14,approved,2026-04-05 21:50:05.069527
280,254,annual,2022-09-24,2022-10-03,approved,2026-04-05 21:50:05.069527
281,255,sick,2022-06-05,2022-06-07,rejected,2026-04-05 21:50:05.069527
282,255,sick,2020-07-02,2020-07-07,approved,2026-04-05 21:50:05.069527
283,255,annual,2020-10-04,2020-10-19,approved,2026-04-05 21:50:05.069527
284,255,sick,2021-12-22,2021-12-23,approved,2026-04-05 21:50:05.069527
285,255,paternity,2020-04-25,2020-05-05,approved,2026-04-05 21:50:05.069527
286,255,annual,2021-06-27,2021-07-03,approved,2026-04-05 21:50:05.069527
287,257,annual,2023-07-22,2023-07-26,approved,2026-04-05 21:50:05.069527
288,257,sick,2021-06-30,2021-07-05,approved,2026-04-05 21:50:05.069527
289,258,annual,2020-04-22,2020-05-01,approved,2026-04-05 21:50:05.069527
290,258,sick,2023-05-18,2023-05-20,approved,2026-04-05 21:50:05.069527
291,258,sick,2024-03-19,2024-03-20,approved,2026-04-05 21:50:05.069527
292,258,annual,2021-08-01,2021-08-12,pending,2026-04-05 21:50:05.069527
293,258,sick,2022-06-18,2022-06-21,approved,2026-04-05 21:50:05.069527
294,258,annual,2020-04-26,2020-05-01,approved,2026-04-05 21:50:05.069527
295,259,sick,2020-01-29,2020-02-01,approved,2026-04-05 21:50:05.069527
296,259,annual,2022-07-16,2022-07-28,approved,2026-04-05 21:50:05.069527
297,259,annual,2020-11-29,2020-12-05,approved,2026-04-05 21:50:05.069527
298,259,sick,2022-11-06,2022-11-07,approved,2026-04-05 21:50:05.069527
299,260,unpaid,2022-06-03,2022-06-28,rejected,2026-04-05 21:50:05.069527
300,260,sick,2023-11-12,2023-11-15,approved,2026-04-05 21:50:05.069527
301,260,annual,2024-03-14,2024-03-28,pending,2026-04-05 21:50:05.069527
302,261,sick,2021-02-20,2021-02-25,approved,2026-04-05 21:50:05.069527
303,261,annual,2024-04-15,2024-04-22,approved,2026-04-05 21:50:05.069527
304,261,annual,2023-12-25,2024-01-04,rejected,2026-04-05 21:50:05.069527
305,261,paternity,2022-04-27,2022-05-10,approved,2026-04-05 21:50:05.069527
306,261,annual,2021-08-22,2021-08-28,approved,2026-04-05 21:50:05.069527
307,261,annual,2020-12-15,2020-12-21,approved,2026-04-05 21:50:05.069527
308,262,sick,2022-10-24,2022-10-28,approved,2026-04-05 21:50:05.069527
309,262,annual,2021-05-19,2021-05-22,approved,2026-04-05 21:50:05.069527
310,262,annual,2023-11-26,2023-11-29,approved,2026-04-05 21:50:05.069527
311,262,annual,2022-03-10,2022-03-20,approved,2026-04-05 21:50:05.069527
312,263,paternity,2021-08-01,2021-08-13,approved,2026-04-05 21:50:05.069527
313,263,annual,2020-02-13,2020-02-19,approved,2026-04-05 21:50:05.069527
314,263,annual,2022-11-13,2022-11-20,approved,2026-04-05 21:50:05.069527
315,263,annual,2022-07-05,2022-07-16,approved,2026-04-05 21:50:05.069527
316,263,annual,2021-08-23,2021-08-28,approved,2026-04-05 21:50:05.069527
317,263,paternity,2021-06-29,2021-07-09,approved,2026-04-05 21:50:05.069527
318,264,annual,2023-06-13,2023-06-28,rejected,2026-04-05 21:50:05.069527
319,264,annual,2023-08-21,2023-08-27,approved,2026-04-05 21:50:05.069527
320,264,annual,2024-05-19,2024-06-03,approved,2026-04-05 21:50:05.069527
321,265,paternity,2022-10-15,2022-10-29,rejected,2026-04-05 21:50:05.069527
322,265,maternity,2020-09-26,2020-11-27,approved,2026-04-05 21:50:05.069527
323,265,maternity,2023-05-30,2023-08-02,approved,2026-04-05 21:50:05.069527
324,266,annual,2020-10-23,2020-11-06,approved,2026-04-05 21:50:05.069527
325,266,annual,2021-07-28,2021-08-10,approved,2026-04-05 21:50:05.069527
326,266,annual,2021-03-12,2021-03-24,approved,2026-04-05 21:50:05.069527
327,267,annual,2024-01-23,2024-01-28,approved,2026-04-05 21:50:05.069527
328,267,annual,2022-10-02,2022-10-17,approved,2026-04-05 21:50:05.069527
329,267,annual,2022-02-09,2022-02-20,pending,2026-04-05 21:50:05.069527
330,267,maternity,2020-01-22,2020-03-28,approved,2026-04-05 21:50:05.069527
331,267,sick,2022-03-21,2022-03-26,approved,2026-04-05 21:50:05.069527
332,267,annual,2023-04-06,2023-04-21,rejected,2026-04-05 21:50:05.069527
333,268,annual,2022-01-01,2022-01-12,approved,2026-04-05 21:50:05.069527
334,268,annual,2023-10-19,2023-10-27,approved,2026-04-05 21:50:05.069527
335,268,annual,2022-04-09,2022-04-19,approved,2026-04-05 21:50:05.069527
336,268,annual,2022-10-21,2022-11-03,rejected,2026-04-05 21:50:05.069527
337,268,annual,2022-07-27,2022-07-30,approved,2026-04-05 21:50:05.069527
338,268,maternity,2020-02-05,2020-04-19,rejected,2026-04-05 21:50:05.069527
339,270,annual,2022-03-23,2022-04-01,rejected,2026-04-05 21:50:05.069527
340,270,annual,2023-01-22,2023-01-30,approved,2026-04-05 21:50:05.069527
341,270,annual,2022-01-04,2022-01-19,approved,2026-04-05 21:50:05.069527
342,270,annual,2020-07-12,2020-07-20,approved,2026-04-05 21:50:05.069527
343,270,annual,2021-01-02,2021-01-13,approved,2026-04-05 21:50:05.069527
344,271,annual,2023-12-16,2023-12-25,approved,2026-04-05 21:50:05.069527
345,271,sick,2022-08-11,2022-08-14,approved,2026-04-05 21:50:05.069527
